"incident_date","incident_datetime","analysis_neighborhood","incident_category","incident_category","resolution","police_district","incident_description","incident_number"
"2023-01-20 00:00:00","2023-01-20 00:00:00","Tenderloin","Weapons Offense","Weapons Offense","Open or Active","Tenderloin","Weapon, Deadly, Imitation or Laser Scope, Exhibiting","230045383"
"2023-01-20 00:00:00","2023-01-20 00:03:00","Mission","Other Miscellaneous","Other Miscellaneous","Open or Active","Southern","Defrauding Of Vehicle Repairman","230045872"
"2023-01-20 00:00:00","2023-01-20 00:03:00","Mission","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Southern","Vehicle, Stolen, Auto","230045872"
"2023-01-20 00:00:00","2023-01-20 00:03:00","Mission","Burglary","Burglary","Open or Active","Southern","Burglary, Other Bldg., Forcible Entry","230045872"
"2023-01-20 00:00:00","2023-01-20 00:05:00","Inner Sunset","Non-Criminal","Non-Criminal","Open or Active","Taraval","Mental Health Detention","230045139"
"2023-01-20 00:00:00","2023-01-20 00:05:00","Bayview Hunters Point","Missing Person","Missing Person","Open or Active","Bayview","Found Person","230042533"
"2023-01-20 00:00:00","2023-01-20 00:10:00","Tenderloin","Robbery","Robbery","Open or Active","Tenderloin","Robbery, Street or Public Place, W/ Force","230045167"
"2023-01-20 00:00:00","2023-01-20 00:20:00","Marina","Assault","Assault","Open or Active","Northern","Assault, Aggravated, W/ Force","230045151"
"2023-01-20 00:00:00","2023-01-20 00:24:00","Bayview Hunters Point","Robbery","Robbery","Open or Active","Bayview","Robbery, W/ Force","230018675"
"2023-01-20 00:00:00","2023-01-20 00:32:00","Tenderloin","Other Miscellaneous","Other Miscellaneous","Open or Active","Tenderloin","Unusual Occurrence","230045214"
"2023-01-20 00:00:00","2023-01-20 01:00:00","Excelsior","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Ingleside","Vehicle, Stolen, Truck","230046933"
"2023-01-20 00:00:00","2023-01-20 01:30:00","Seacliff","Other","Other","Open or Active","Richmond","Death Report, Cause Unknown","230045587"
"2023-01-20 00:00:00","2023-01-20 01:33:00","Tenderloin","Other","Other","Open or Active","Northern","Death Report, Cause Unknown","230045242"
"2023-01-20 00:00:00","2023-01-20 01:46:00","South of Market","Traffic Violation Arrest","Traffic Violation Arrest","Open or Active","Tenderloin","Traffic Violation Arrest","230045305"
"2023-01-20 00:00:00","2023-01-20 01:46:00","South of Market","Other Miscellaneous","Other Miscellaneous","Open or Active","Tenderloin","Investigative Detention","230045305"
"2023-01-20 00:00:00","2023-01-20 01:47:00","Bayview Hunters Point","Disorderly Conduct","Disorderly Conduct","Cite or Arrest Adult","Bayview","Terrorist Threats","230045236"
"2023-01-20 00:00:00","2023-01-20 01:51:00","Pacific Heights","Malicious Mischief","Malicious Mischief","Open or Active","Northern","Malicious Mischief, Vandalism to Vehicle","230045264"
"2023-01-20 00:00:00","2023-01-20 02:00:00","Chinatown","Non-Criminal","Non-Criminal","Open or Active","Central","Found  Property","230045292"
"2023-01-20 00:00:00","2023-01-20 02:05:00","Bayview Hunters Point","Offences Against The Family And Children","Offences Against The Family And Children","Cite or Arrest Adult","Bayview","Violation of Emergency Protective Order","230045258"
"2023-01-20 00:00:00","2023-01-20 03:27:00","South of Market","Burglary","Burglary","Open or Active","Tenderloin","Burglary, Other Bldg., Forcible Entry","230045327"
"2023-01-20 00:00:00","2023-01-20 03:45:00","Mission","Burglary","Burglary","Open or Active","Mission","Burglary, Store, Att. Forcible Entry","230045311"
"2023-01-20 00:00:00","2023-01-20 04:00:00","West of Twin Peaks","Malicious Mischief","Malicious Mischief","Open or Active","Ingleside","Malicious Mischief, Breaking Windows","230045361"
"2023-01-20 00:00:00","2023-01-20 04:11:00","Castro/Upper Market","Burglary","Burglary","Open or Active","Park","Burglary, Other Bldg., Unlawful Entry","230045349"
